,timestamp,donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_pesos_argentinos,ultimo_salario_mensual_o_retiro_neto_en_pesos_argentinos,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,tuviste_actualizaciones_de_tus_ingresos_laborales_durante_2024,de_que_fue_el_ajuste_total_acumulado,en_que_mes_fue_el_ultimo_ajuste,como_consideras_que_estan_tus_ingresos_laborales_comparados_con_el_semestre_anterior,contas_con_beneficios_adicionales,que_tan_conforme_estas_con_tus_ingresos_laborales,estas_buscando_trabajo,trabajo_de,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,si_trabajas_bajo_un_esquema_hibrido_cuantos_dias_a_la_semana_vas_a_la_oficina,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,en_los_ultimos_6_meseshubo_reduccion_de_personal,la_recomendas_como_un_buen_lugar_para_trabajar,que_tanto_estas_usando_copilotchatgpt_u_otras_herramientas_de_ia_para_tu_trabajo,salir_o_seguir_contestando,maximo_nivel_de_estudios,estado,carrera,institucion_educativa,salir_o_seguir_contestando_sobre_las_guardias,tenes_guardias,cuanto_cobras_por_guardia,aclara_el_numero_que_ingresaste_en_el_campo_anterior,salir_o_seguir_contestando_sobre_estudios,tengo_edad,genero,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,cuales_consideras_que_son_las_mejores_empresas_de_it_para_trabajar_en_este_momento_en_tu_ciudad,sueldo_dolarizado,seniority
0,5/1/2024 11:32:55,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3800000.0,2500000.0,,,3+ sueldos,Mix de las anteriores,Más de tres,120.0,Marzo,2,"Abono de celular, Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida",2,"No, pero escucho ofertas.",BI Analyst / Data Analyst,10,9,2,4.0,"Amazon Web Services, Azure","HTML, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,,No sé,6,1,Responder sobre guardias,,,,,,"Sí, pasiva",0.0,Bruto,Terminar encuesta,37,Hombre Cis,Sí,,False,Senior
1,5/1/2024 11:36:12,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000.0,1500000.0,Cobro parte del salario en dólares,1000,No,No recibo bono,Dos,50.0,Marzo,4,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,3,1,3,0.0,"Amazon Web Services, Docker","HTML, Javascript, PHP, TypeScript","Laravel, Next.js, React.js, WordPress, Tailwind",MariaDB,Jest,De 2 a 10 personas,100% remoto,0,"Si, acorde a inflación ",No,10,5,Responder sobre mis estudios,Posgrado/Especialización,Incompleto,Publicidad,UADE - Universidad Argentina De la Empresa,Terminar encuesta,,,,,31,Hombre Cis,No,,True,Semi-Senior
2,5/1/2024 11:37:21,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6000000.0,4000000.0,,,De uno a tres sueldos,Mix de las anteriores,Tres,60.0,Abril,4,"Abono de celular, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Technical Leader,9,4,2,0.0,"Amazon Web Services, Docker, Kubernetes","CSS, HTML, Javascript","Angular, Node.js, React.js","Amazon RDS/Aurora, PostgreSQL","Cucumber, Jest, Mocha, Playwright",De 1001 a 2000 personas,Híbrido (presencial y remoto),1,,No,9,4,Responder sobre guardias,Universitario,Completo,Licenciatura en gestión de proyectos de software,UNLaM - Universidad Nacional de La Matanza,Terminar encuesta,"Sí, pasiva",1000000.0,Bruto,Responder sobre mis estudios,38,Hombre Cis,Sí,,False,Senior
3,5/1/2024 11:37:50,Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,1900000.0,Cobro parte del salario en dólares,,Menos de un sueldo,Performance individual,Tres,75.0,Marzo,4,Ninguna de las anteriores,4,"No, estoy muy conforme.",Technical Leader,3,3,3,7.0,"Amazon Web Services, Docker, Kubernetes","Javascript, TypeScript",Node.js,"PostgreSQL, Redis",Postman,De 11  a 50  personas,100% remoto,0,,No,8,3,Responder sobre mis estudios,Universitario,Incompleto,Derecho,Universidad Siglo 21,Responder sobre guardias,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,28,Hombre Cis,Sí,,True,Semi-Senior
4,5/1/2024 11:37:55,Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1500000.0,1200000.0,,,Un sueldo,Performance individual,Más de tres,30.0,Marzo,3,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,2,2,2,0.0,"Docker, Linux","CSS, Javascript, Python, SQL, TypeScript","Next.js, React.js, Fastapi","ElasticSearch, Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,No sé,8,2,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Informática,UBA - Universidad de Buenos Aires,Terminar encuesta,,,,,26,Hombre Cis,Sí,,False,Junior
5,5/1/2024 11:38:30,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000.0,1600000.0,,,De uno a tres sueldos,Performance de la compañía,Uno,16.0,Marzo,2,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",Manager / Director,12,1,10,0.0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),1,Ajuste cada cuatro meses.,No sé,10,0,Terminar encuesta,,,,,,,,,,37,Mujer Cis,Sí,,False,Senior
6,5/1/2024 11:38:38,Córdoba,Full-Time,Contractor,1000000.0,1000000.0,Cobro todo el salario en dólares,1500,No,No recibo bono,No,0.0,No tuve,4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Data Engineer,5,3,3,0.0,"Azure, Docker, Windows Server","C#, Python, R, Scala, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL, SQLite, Teradata",Postman,De 101 a 200 personas,100% remoto,0,Si pero para los que nos atan en contractor,No,8,5,Responder sobre guardias,Universitario,En curso,Ingeniería en Software,Universidad Siglo 21,Responder sobre guardias,No,0.0,Neto,Terminar encuesta,27,Hombre Cis,Sí,"Globant,Accenture",True,Semi-Senior
7,5/1/2024 11:38:56,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),850000.0,2700000.0,Cobro parte del salario en dólares,1010,No,No recibo bono,Uno,65.0,Abril,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Developer,9,7,6,4.0,"Amazon Web Services, Azure, Docker, Firebase","CSS, HTML, Javascript, SQL, TypeScript","Angular, Bootstrap, Cordova, Flutter, jQuery, Next.js, Node.js, React.js","MongoDB, MySQL, PostgreSQL, SQLite","Jest, JUnit, Karma, Postman, Visual Studio Coded UI",De 201 a 500 personas,100% remoto,0,,No sé,8,2,Terminar encuesta,,,,,,,,,,31,Hombre Cis,Sí,,True,Senior
8,5/1/2024 11:39:33,Buenos Aires,Full-Time,Staff (planta permanente),990000.0,821000.0,,,No,No recibo bono,Tres,69.0,Marzo,3,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",Developer,4,2,1,0.0,"Amazon Web Services, Docker, Linux, Serverless","Bash/Shell, CSS, HTML, Javascript, PHP, Python, SQL, TypeScript","Bootstrap, jQuery, Node.js, React.js, Symfony","Amazon Redshift, Amazon RDS/Aurora, MongoDB","Jest, JUnit, PHPUnit, Postman",De 11  a 50  personas,Híbrido (presencial y remoto),2,Si,No sé,7,2,Terminar encuesta,,,,,,,,,,25,Hombre Cis,No,,False,Semi-Senior
9,5/1/2024 11:39:47,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3300000.0,3000000.0,Cobro todo el salario en dólares,1000,No,No recibo bono,Uno,100.0,Abril,4,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Technical Leader,5,5,2,6.0,"Docker, Google Cloud Platform, Kubernetes",".NET, Javascript, TypeScript",".NET Core, Angular",Google Cloud Storage,Jest,De 11  a 50  personas,100% remoto,0,,No,10,1,Terminar encuesta,,,,,,,,,,34,Hombre Cis,Sí,,True,Semi-Senior
